framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.178634667769074,31.30106801430591,4300.71783724686,3.843593652214622,4.075696585699916,5.908798463642597
sglang.cpp,0.8,256.0,35174.0,8.448761509731412,30.300299008929926,4163.2137396097705,2.9862617921389756,3.3023741226643324,4.382644180208445
sglang.cpp,1.0,256.0,35174.0,8.569353671744466,29.873898289914553,4104.626947068182,2.5223284882013104,2.8223111163824797,3.8411801755428314
mini-sglang,0.4,256.0,35174.0,8.130143160000443,31.48776041970533,4326.369082041857,3.711230530476314,3.968152027577162,5.752024132758379
mini-sglang,0.8,256.0,35174.0,8.31595310382545,30.784204384490405,4229.701582109631,2.826741443037463,3.108582703396678,4.22848366945982
mini-sglang,1.0,256.0,35174.0,8.52438411489129,30.03149512617484,4126.280506125288,2.408496046111395,2.626378996297717,3.524940386414528
