scale,avg_e2e_s_mini-sglang,avg_e2e_s_sglang.cpp,p90_e2e_s_mini-sglang,p90_e2e_s_sglang.cpp,req_per_s_mini-sglang,req_per_s_sglang.cpp,tok_per_s_mini-sglang,tok_per_s_sglang.cpp,req_ratio_sglang_over_mini,tok_ratio_sglang_over_mini,avg_e2e_ratio_sglang_over_mini,p90_e2e_ratio_sglang_over_mini
0.4,3.792664382213843,4.04629007915355,5.83146894723177,6.189027262851596,31.6996854037361,30.021613662645436,4355.487243714897,4124.922808476135,0.9470634575795226,0.9470634575795226,1.0668726972334055,1.0613153081762634
0.8,2.8229355411604047,3.1998813226528,4.229994913563132,4.657275311648846,30.63785932135552,29.0701273732918,4209.593999099059,3994.1900790162726,0.9488302387049945,0.9488302387049945,1.133529716139904,1.1010120359047415
1.0,2.413167339778738,2.7649478720049956,3.5336703043431044,4.048632776364684,29.99925970020423,28.58772297565397,4121.85140896478,3927.908468537706,0.9529476147526184,0.9529476147526184,1.1457754406118028,1.1457301976895407
