framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.527189873158932,30.021613662645436,4124.922808476135,4.04629007915355,4.290145706385374,6.189027262851596
sglang.cpp,0.8,256.0,35174.0,8.806290963664651,29.0701273732918,3994.1900790162726,3.1998813226528,3.5156078599393368,4.657275311648846
sglang.cpp,1.0,256.0,35174.0,8.954892987385392,28.58772297565397,3927.908468537706,2.7649478720049956,3.0526173543184996,4.048632776364684
mini-sglang,0.4,256.0,35174.0,8.075789924710989,31.6996854037361,4355.487243714897,3.792664382213843,4.04567901045084,5.83146894723177
mini-sglang,0.8,256.0,35174.0,8.355675157159567,30.63785932135552,4209.593999099059,2.8229355411604047,3.099811365827918,4.229994913563132
mini-sglang,1.0,256.0,35174.0,8.533543912693858,29.99925970020423,4121.85140896478,2.413167339778738,2.631093882024288,3.5336703043431044
