Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
194.610,3725,0.052,0.000,0.000,3.695,0.266,[CUDA memcpy Device-to-Device]
6.938,9550,0.001,0.000,0.000,0.014,0.001,[CUDA memcpy Host-to-Device]
0.667,2688,0.000,0.000,0.000,0.001,0.000,[CUDA memset]
0.221,668,0.000,0.000,0.000,0.007,0.001,[CUDA memcpy Device-to-Host]
