Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
194.611,3699,0.053,0.000,0.000,5.661,0.285,[CUDA memcpy Device-to-Device]
4.602,8684,0.001,0.000,0.000,0.011,0.001,[CUDA memcpy Host-to-Device]
0.713,2736,0.000,0.000,0.000,0.001,0.000,[CUDA memset]
0.221,655,0.000,0.000,0.000,0.014,0.001,[CUDA memcpy Device-to-Host]
