framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,1.0,128.0,18229.0,7.696103485301137,16.631792990370833,2368.601206417734,3.3456599156197626,3.7017269786447287,4.953525580465794
mini-sglang,1.0,128.0,18229.0,5.958065019920468,21.48348491868399,3059.550363927269,2.5000486657663714,2.7253275774419308,3.7267180141061544
