PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
64148,64269,0,2744,2744,1604368.2,1615080.5,5826,5612180,1046852.0,3089.9,3064.0,2698,12493,317.5,1597874.7,1609194.5,880,5600678,1045884.7,3403.6,3040.0,1760,8802,1426.4,cudaLaunchKernel,"void sglang::<unnamed>::store_kv_cache_kernel<__nv_bfloat16, int>(T1 *, T1 *, const T1 *, const T1 *, const T2 *, long, long, long, long)"
64148,64269,0,5488,5488,1601920.6,1615659.0,5782,5556079,1037148.3,3152.7,3127.0,2747,9379,302.4,1594856.6,1604687.5,972,5545117,1035989.6,3911.3,3520.0,1600,13666,1787.4,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
64148,64269,0,5586,5586,1574562.0,1527771.0,5845,5585291,1053108.9,2843.8,2812.0,2395,10083,314.7,1565503.0,1517034.0,629,5569600,1050994.9,6215.2,5600.5,1632,25828,3240.0,cudaLaunchKernel,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
64148,64269,0,2744,2744,1563696.3,1605696.0,16944,5167701,952479.2,3057.1,3031.0,2726,9460,304.9,1555240.5,1598736.5,11764,5151063,949816.1,5398.7,4305.0,1600,49095,4898.1,cudaLaunchKernel,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &sglang::d_silu>(T1 *, const T1 *, int)"
64148,64269,0,5488,5488,1536373.6,1534930.5,6647,5336289,945484.8,3018.5,2998.0,2623,14000,329.4,1530272.8,1529431.0,1054,5314372,944334.2,3082.3,2625.0,1632,19234,1824.8,cudaLaunchKernel,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
64148,64269,0,2744,2742,1435552.4,1496480.5,11364,4715256,892149.0,3499.8,3450.5,3062,10322,380.5,1371742.3,1440309.0,320,4566587,865084.7,61310.4,67146.0,7169,158648,35147.7,cudaLaunchKernel,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<(flashinfer::MaskMode)1, (flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)8, (unsigned int)2, (unsigned int)4, (unsigned int)1, float, flashinfer::ComposedAttention<flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, (unsigned int)2>>(flashinfer::uint_fastdiv, T9::ParamsT)"
64148,64269,0,280,279,1202966.2,1416476.5,84243,1479386,403964.0,2973.2,2901.0,2520,7918,484.0,1144167.9,1338946.0,26779,1435107,399965.6,59913.9,59849.5,41191,78860,18379.2,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
64148,64269,0,952,951,1155296.3,1093484.5,56574,3979078,817243.1,3025.4,2964.0,2613,10030,482.8,1095464.4,1038672.0,248,3827425,800648.7,57961.8,52136.0,51688,149975,22755.8,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
64148,64269,0,1120,1120,933629.5,1017872.0,21052,2538276,557082.0,3120.2,3077.5,2585,8663,399.3,898993.7,987485.5,151,2456479,550641.8,31515.7,26949.0,16355,79084,11666.7,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
64148,64269,0,644,644,932574.8,1022065.5,18812,1828460,593540.0,3099.5,3045.5,2651,10259,428.5,926393.3,1016626.0,13099,1821284,593035.1,3082.1,2753.0,1440,4321,794.2,cudaLaunchKernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
64148,64269,0,196,194,902615.4,7907.5,5778,5240537,1102378.6,4255.6,4207.5,3395,12390,953.2,905980.5,1064.0,281,5235196,1104868.7,1635.4,1488.5,1216,2209,267.4,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
64148,64269,0,980,980,795661.9,965664.0,18002,1645491,486200.0,3054.2,3023.0,2677,10147,296.0,772843.9,947220.0,7025,1618686,482233.6,19763.8,19779.0,6977,29412,6047.5,cudaLaunchKernel,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
64148,64269,0,420,420,675894.7,744384.5,33110,1209904,390896.7,2997.8,2946.0,2616,7850,367.7,645689.4,719133.0,663,1176049,390203.7,27207.5,28004.0,22211,33189,2513.3,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params)
64148,64269,0,5,5,572537.0,6395.0,6166,2836896,1265815.2,4918.4,4926.0,4352,5499,412.2,566792.4,575.0,446,2831680,1266110.7,826.2,801.0,769,897,52.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
64148,64269,0,168,167,229907.5,146572.5,21600,736697,222870.3,3030.4,2949.5,2618,10843,664.3,210347.4,132522.0,255,717259,224054.7,17818.4,16771.0,16578,24419,2188.8,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn
64148,64269,0,28,28,29376.1,29687.5,23160,30462,1376.8,2963.5,2861.5,2538,5286,483.1,12238.0,12796.0,815,13498,2434.3,14174.7,14018.0,13538,17059,685.9,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8>(T1::Params)
64148,64269,0,252,251,24793.2,26892.0,14373,42776,8633.7,2924.2,2888.5,2547,8119,404.7,7961.1,8005.0,72,19246,6011.6,13952.6,13986.0,10401,21187,3143.3,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
64148,64269,0,84,84,20673.8,18613.0,16127,30971,4381.0,3086.2,2974.5,2587,7241,542.1,2696.6,1249.5,76,7030,2244.9,14891.1,14418.5,11970,21059,2366.8,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
64148,64269,0,15,13,11226.0,7524.0,5817,65895,15138.0,9024.1,4983.0,3510,65264,15578.9,565.6,598.0,52,1219,331.6,1786.1,1665.0,1088,2336,365.7,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
64148,64269,0,136,132,7432.5,7210.0,5722,65899,5114.1,5234.2,4978.0,3379,65899,5322.3,729.3,600.5,25,1329,343.6,1504.0,1632.0,1024,1825,228.1,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
64148,64269,0,98,98,7104.0,6855.0,6147,12919,1038.5,4245.7,4044.0,3686,10318,938.4,927.9,944.0,240,1264,161.4,1930.4,1792.0,1216,3905,459.9,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
