framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.123348772525787,31.514096854467827,4329.987667027544,3.8110159292336903,4.027158051729202,5.841633161529899
sglang.cpp,0.8,256.0,35174.0,8.381815794855356,30.542308047037885,4196.465403306682,2.936622452783922,3.260332331061363,4.344386314973235
sglang.cpp,1.0,256.0,35174.0,8.49782239831984,30.125364828831376,4139.178056598886,2.489415399497375,2.792076012119651,3.8191304970532656
mini-sglang,0.4,256.0,35174.0,8.143145877867937,31.437481759448314,4319.460872682949,3.7149334904679563,3.950943550094962,5.777250537648797
mini-sglang,0.8,256.0,35174.0,8.341800147667527,30.68881961546164,4216.59586388378,2.810969259822741,3.0851395279169083,4.198771258816123
mini-sglang,1.0,256.0,35174.0,8.533079689368606,30.000891743569593,4122.075649173113,2.4109683981369017,2.6282717753201723,3.533999774605036
