framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.181031011044979,31.291899475063914,4299.4580942808525,3.826320757405483,4.071908911690116,5.851271377876401
sglang.cpp,0.8,256.0,35174.0,8.44784570299089,30.303583777502627,4163.6650616792085,2.9843168537627207,3.310382416471839,4.384103344753385
sglang.cpp,1.0,256.0,35174.0,8.595074390992522,29.784500791323367,4092.3438704453442,2.541120416142803,2.8401711266487837,3.84769987128675
mini-sglang,0.4,256.0,35174.0,8.10859983600676,31.571418639160793,4337.86359067907,3.7053633090181393,3.9900077991187572,5.745035262778401
mini-sglang,0.8,256.0,35174.0,8.37380069680512,30.57154203558635,4200.482107655134,2.8378584643505746,3.1158476136624813,4.236015612259507
mini-sglang,1.0,256.0,35174.0,8.527997197583318,30.018771590655053,4124.532312225394,2.406287742211134,2.6268754079937935,3.5314898286014795
