framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.146259615197778,31.4254654396728,4317.809849121293,3.806666018535907,4.012452524155378,5.8766516875475645
sglang.cpp,0.8,256.0,35174.0,8.419879907742143,30.40423412269884,4177.494261843004,2.9674376623152057,3.2837138064205647,4.358831886202097
sglang.cpp,1.0,256.0,35174.0,8.520255666226149,30.04604674185667,4128.279875383072,2.5017613847303437,2.7946097552776337,3.794549135491252
mini-sglang,0.4,256.0,35174.0,8.144440617412329,31.4324840741901,4318.774198537354,3.7233533235557843,3.9887051414698362,5.7711243480443954
mini-sglang,0.8,256.0,35174.0,8.342865092679858,30.68490226752172,4216.057626397692,2.8111347734666197,3.0840882528573275,4.1997961066663265
mini-sglang,1.0,256.0,35174.0,8.518341463059187,30.052798553588726,4129.207563765351,2.3984421635832405,2.634606432169676,3.527781752869487
