framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,1.0,128.0,18229.0,4.932765690609813,25.948931700458697,3695.492780997356,1.8508514817949617,2.0034074038267136,2.9799487236887217
mini-sglang,1.0,128.0,18229.0,4.802171099931002,26.65461045355904,3795.9913590463107,1.6891274658410111,1.8474433310329914,2.7272006273269653
