framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,1.0,128.0,18229.0,4.952057022601366,25.84784452517477,3681.0965456985227,1.8703851157915778,2.031904421746731,3.0215716511011124
mini-sglang,1.0,128.0,18229.0,4.663397653028369,27.447798691770995,3908.952518377293,1.5847429644636577,1.7229386903345585,2.613091828301549
