framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.499205514788628,30.120462383755715,4138.504468305561,4.017113755195169,4.276124840602279,6.1385848838835955
sglang.cpp,0.8,256.0,35174.0,8.784734351560473,29.141461739765134,4003.991309509761,3.187497856997652,3.487690845504403,4.699623258784413
sglang.cpp,1.0,256.0,35174.0,8.91840409860015,28.704687202969676,3943.9791706142787,2.736496103803802,3.0253671873360872,4.0251202043145895
mini-sglang,0.4,256.0,35174.0,8.08454722724855,31.665347830137623,4350.769314754925,3.8048388109964435,4.058724917471409,5.859625788405538
mini-sglang,0.8,256.0,35174.0,8.373588107526302,30.572318188173536,4200.588749807875,2.8356104029226117,3.1162468921393156,4.243502479046583
mini-sglang,1.0,256.0,35174.0,8.531093399971724,30.007876833331647,4123.035389592216,2.4096779378087376,2.6275737043470144,3.5315893087536097
