framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.93899056687951,28.638580395030708,3934.896198495352,4.233548847681959,4.524120457470417,6.490007232874632
sglang.cpp,0.8,256.0,35174.0,9.13514612428844,28.023634927891262,3850.4036521626845,3.3595572316335165,3.6813116651028395,4.971503049135208
sglang.cpp,1.0,256.0,35174.0,9.158779127523303,27.951323690150716,3840.4682010834426,2.964960541758046,3.260320745408535,4.2924077939242125
mini-sglang,0.4,256.0,35174.0,7.901618437841535,32.39842596979801,4451.493105709669,3.588307396734308,3.8161930199712515,5.556983964517713
mini-sglang,0.8,256.0,35174.0,8.130961110815406,31.484592843456273,4325.9338620145745,2.6904674098914256,2.9652435444295406,3.9987755846232176
mini-sglang,1.0,256.0,35174.0,8.318401612341404,30.775143102034352,4228.456576058423,2.2770359590649605,2.520977482199669,3.37042036652565
