framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.141754254698753,31.442855187167776,4320.199173255623,3.8131446229454014,4.042646359652281,5.869189240038395
sglang.cpp,0.8,256.0,35174.0,8.413966739550233,30.425601612692425,4180.430121581419,2.9644149484520312,3.2824722565710545,4.378366135060787
sglang.cpp,1.0,256.0,35174.0,8.530438220128417,30.01018158667893,4123.352059100956,2.5057158542840625,2.8110163528472185,3.8108460884541273
mini-sglang,0.4,256.0,35174.0,8.131159776821733,31.483823590546145,4325.82816786668,3.7322607582318597,3.9914663694798946,5.755251612514257
mini-sglang,0.8,256.0,35174.0,8.347518168389797,30.667797881460782,4213.707510478522,2.816746936958225,3.107343366369605,4.210391093045473
mini-sglang,1.0,256.0,35174.0,8.520016930997372,30.04688864744217,4128.395551895042,2.4061290590980207,2.6381296571344137,3.5216170363128185
