framework,scale,num_requests,total_output_tokens,duration_s,req_per_s,tok_per_s,avg_e2e_s,p50_e2e_s,p90_e2e_s
sglang.cpp,0.4,256.0,35174.0,8.57752544619143,29.845437545588215,4100.716485267655,4.066534543679154,4.355705611407757,6.223814759403467
sglang.cpp,0.8,256.0,35174.0,8.829034131020308,28.995244123086874,3983.901237443194,3.219873880239902,3.525855554267764,4.75595267675817
sglang.cpp,1.0,256.0,35174.0,8.882838673889637,28.819616048244875,3959.7702143787706,2.8254199718212476,3.1252814810723066,4.105788247659802
mini-sglang,0.4,256.0,35174.0,8.152277948334813,31.402265921550264,4314.622271580503,3.7320186178112635,3.96838697232306,5.780827889218926
mini-sglang,0.8,256.0,35174.0,8.351974975317717,30.651432835532596,4211.458978738373,2.8187277958131745,3.099791357293725,4.22999575920403
mini-sglang,1.0,256.0,35174.0,8.519499514251947,30.04871349211856,4128.646282702259,2.4055916610450367,2.6321483086794615,3.5194824896752834
